Timestamp,GYRO_X,GYRO_Y,GYRO_Z,ACCEL_X,ACCEL_Y,ACCEL_Z,MAG_X,MAG_Y,MAG_Z,FDC,REED1,REED2,CAP_STATUS
2019-08-1210:12:53.9340,-1.33,0.06,1.25,8.89,-0.08,-2.57,-23.44,1.06,-26,13.089,0,1,ON
2019-08-1210:12:54.0230,-2.77,0.33,2.72,8.89,-0.08,-2.57,-23.44,1.06,-26,13.089,0,1,ON
2019-08-1210:12:54.1440,-0.69,-0.98,0.45,8.89,-0.08,-2.57,-23.44,1.06,-26,12.576,0,1,ON
2019-08-1210:12:54.2330,-0.33,-0.05,0.1,8.89,-0.08,-2.57,-23.44,1.06,-26,12.927,0,1,ON
2019-08-1210:12:54.3230,-0.4,0.08,-2.03,8.89,-0.08,-2.57,-23.44,1.06,-26,12.837,0,1,ON
2019-08-1210:12:54.4130,0.19,-1.06,-1.29,8.89,-0.08,-2.57,-23.44,1.06,-26,13.011,0,1,ON
2019-08-1210:12:54.5330,0.02,-2.43,-2.02,8.89,-0.08,-2.57,-23.44,1.06,-26,13.524,0,1,ON
2019-08-1210:12:54.6230,1.03,-7.69,-1.81,8.89,-0.08,-2.57,-23.44,1.06,-26,13.766,0,1,ON
2019-08-1210:12:54.7430,1.03,-7.69,-1.81,-0.57,0.65,-10.8,-23.44,1.06,-26,14.225,0,1,ON
2019-08-1210:12:54.8330,1.03,-7.69,-1.81,-0.57,0.65,-10.8,-7.12,-6.5,-26,14.173,0,1,ON
2019-08-1210:12:54.9230,13.78,9.28,-3.35,-0.57,0.65,-10.8,-7.12,-6.5,12.88,14.296,0,1,ON
2019-08-1210:12:55.0130,13.78,9.28,-3.35,-0.57,0.65,-10.8,-33.5,39.56,12.88,14.259,0,1,ON
2019-08-1210:12:55.1330,-0.69,-0.31,-2.67,-0.57,0.65,-10.8,-33.5,39.56,-10.63,14.262,0,1,ON
2019-08-1210:12:55.2230,-7.42,-8.96,0.58,-0.57,0.65,-10.8,-33.5,39.56,-10.63,14.217,0,1,ON
2019-08-1210:12:55.3130,-6.19,-8.52,0.31,-0.57,0.65,-10.8,-33.5,39.56,-10.63,14.269,0,1,ON
2019-08-1210:12:55.4030,1.49,-6.26,1.06,-0.57,0.65,-10.8,-33.5,39.56,-10.63,14.263,0,1,ON
2019-08-1210:12:55.5230,9.45,0.68,-2.6,-0.57,0.65,-10.8,-33.5,39.56,-10.63,14.114,0,1,ON
2019-08-1210:12:55.6130,8.36,7.29,-8.06,-0.57,0.65,-10.8,-33.5,39.56,-10.63,13.882,0,1,ON
2019-08-1210:12:55.7330,-4.85,6.47,-5.06,-0.57,0.65,-10.8,-33.5,39.56,-10.63,13.82,0,1,ON
2019-08-1210:12:55.8230,-4.85,6.47,-5.06,-0.57,0.65,-10.8,-20.31,4.5,-10.63,13.2,0,1,ON
2019-08-1210:12:55.9130,-4.85,6.47,-5.06,-0.57,0.65,-10.8,-10.81,-15.94,-47.88,12.463,0,1,ON
2019-08-1210:12:56.0030,-4.85,6.47,-5.06,-0.57,0.65,-10.8,2.12,-28.12,-37.25,13.547,0,1,ON
2019-08-1210:12:56.1230,-4.85,6.47,-5.06,-1.42,4.9,-12.11,2.12,-28.12,-26.62,13.923,0,1,ON
2019-08-1210:12:56.2130,5.69,6.41,-0.76,-1.42,4.9,-12.11,2.12,-28.12,-26.62,14.044,0,1,ON
2019-08-1210:12:56.3330,5.69,6.41,-0.76,-1.42,4.9,-12.11,-29.69,26.31,-26.62,14.076,0,1,ON
2019-08-1210:12:56.4230,5.69,6.41,-0.76,5.32,-6.66,-0.65,-29.69,26.31,9.81,13.229,0,1,ON
2019-08-1210:12:56.5130,1.87,-3.71,-6.67,5.32,-6.66,-0.65,-29.69,26.31,9.81,12.848,0,1,ON
2019-08-1210:12:56.6030,1.87,-3.71,-6.67,6.02,7.09,-8.12,-29.69,26.31,9.81,13.269,0,1,ON
2019-08-1210:12:56.7230,-2.06,-7.44,0.15,6.02,7.09,-8.12,-29.69,26.31,9.81,14.033,0,1,ON
2019-08-1210:12:56.8130,-2.06,-7.44,0.15,6.02,7.09,-8.12,1.69,-23.25,9.81,13.681,0,1,ON
2019-08-1210:12:56.9030,6.95,4.29,-1.96,6.02,7.09,-8.12,1.69,-23.25,-8,14.091,0,1,ON
2019-08-1210:12:56.9930,4.91,10.63,-3.83,6.02,7.09,-8.12,1.69,-23.25,-8,14.099,0,1,ON
2019-08-1210:12:57.1130,-4.09,7.57,-1.76,6.02,7.09,-8.12,1.69,-23.25,-8,13.278,0,1,ON
2019-08-1210:12:57.2030,-4.09,7.57,-1.76,9.69,-1.23,0.27,1.69,-23.25,-8,12.554,0,1,ON
2019-08-1210:12:57.3230,-4.09,7.57,-1.76,13.56,3.6,-0.92,1.69,-23.25,-8,12.406,0,1,ON
2019-08-1210:12:57.4130,-3.72,-4.37,-10.18,13.56,3.6,-0.92,1.69,-23.25,-8,12.29,0,1,ON
2019-08-1210:12:57.5030,-0.49,-1.19,-4.42,13.56,3.6,-0.92,1.69,-23.25,-8,12.06,0,1,ON
2019-08-1210:12:57.5930,-0.49,-1.19,-4.42,-2.8,7.24,0.23,1.69,-23.25,-8,12.893,0,1,ON
2019-08-1210:12:57.7130,4.12,3.84,0.11,-2.8,7.24,0.23,1.69,-23.25,-8,13.378,0,1,ON
2019-08-1210:12:57.8080,6.13,7.56,1.5,-2.8,7.24,0.23,1.69,-23.25,-8,14.028,0,1,ON
2019-08-1210:12:57.9040,6.13,7.56,1.5,-2.8,7.24,0.23,-28.94,18.94,-8,13.899,0,1,ON
2019-08-1210:12:58.0030,-3,7.37,-1.7,-2.8,7.24,0.23,-28.94,18.94,14.44,13.122,0,1,ON
2019-08-1210:12:58.1040,-3,7.37,-1.7,-2.8,7.24,0.23,-22.62,13,14.44,12.82,0,1,ON
2019-08-1210:12:58.2080,-3.08,0.63,-6.37,-2.8,7.24,0.23,-22.62,13,-42.81,12.318,0,1,ON
2019-08-1210:12:58.3130,4.05,0.38,-10.1,-2.8,7.24,0.23,-22.62,13,-42.81,13.108,0,1,ON
2019-08-1210:12:58.4180,4.05,0.38,-10.1,-2.84,6.05,-7.39,-22.62,13,-42.81,13.125,0,1,ON
2019-08-1210:12:58.5240,-1.07,8.35,-3.16,-2.84,6.05,-7.39,-22.62,13,-42.81,13.739,0,1,ON
