Timestamp,GYRO_X,GYRO_Y,GYRO_Z,ACCEL_X,ACCEL_Y,ACCEL_Z,MAG_X,MAG_Y,MAG_Z,FDC,REED1,REED2
2019-08-1213:09:00.9870,0,0,0,0,0,0,0,0,0,10.827,0,1
2019-08-1213:09:01.1060,0,0,0,0,0,0,0,0,0,10.716,0,1
2019-08-1213:09:01.1960,0,0,0,0,0,0,0,0,0,12.131,0,1
2019-08-1213:09:01.2860,0,0,0,0,0,0,0,0,0,12.323,0,1
2019-08-1213:09:01.4060,0,0,0,0,0,0,0,0,0,12.243,0,1
2019-08-1213:09:01.4960,0,0,0,0,0,0,0,0,0,11.839,0,1
2019-08-1213:09:01.5860,0,0,0,0,0,0,0,0,0,11.494,0,1
2019-08-1213:09:01.7060,0,0,0,0,0,0,0,0,0,11.497,0,1
2019-08-1213:09:01.7960,0,0,0,0,0,0,0,0,0,12.138,0,1
2019-08-1213:09:01.8860,0,0,0,0,0,0,0,0,0,12.122,0,1
2019-08-1213:09:01.9760,0,0,0,0,0,0,0,0,0,12.256,0,1
2019-08-1213:09:02.0960,0,0,0,0,0,0,0,0,0,12.164,0,1
2019-08-1213:09:02.1860,0,0,0,0,0,0,0,0,0,12.049,0,1
2019-08-1213:09:02.2760,0,0,0,0,0,0,0,0,0,12.226,0,1
2019-08-1213:09:02.3960,0,0,0,0,0,0,0,0,0,12.388,0,1
2019-08-1213:09:02.4870,0,0,0,0,0,0,0,0,0,12.079,0,1
2019-08-1213:09:02.5790,0,0,0,0,0,0,0,0,0,12.295,0,1
2019-08-1213:09:02.6960,0,0,0,0,0,0,0,0,0,12.262,0,1
2019-08-1213:09:02.7930,0,0,0,0,0,0,0,0,0,12.017,0,1
2019-08-1213:09:02.8920,0,0,0,0,0,0,0,0,0,11.895,0,1
2019-08-1213:09:02.9960,0,0,0,0,0,0,0,0,0,11.929,0,1
2019-08-1213:09:03.1020,0,0,0,0,0,0,0,0,0,11.987,0,1
2019-08-1213:09:03.2100,0,0,0,0,0,0,0,0,0,12.111,0,1
2019-08-1213:09:03.3180,0,0,0,0,0,0,0,0,0,12.104,0,1
2019-08-1213:09:03.4290,0,0,0,0,0,0,0,0,0,12.069,0,1
2019-08-1213:09:03.5440,0,0,0,0,0,0,0,0,0,11.975,0,1
2019-08-1213:09:03.6650,0,0,0,0,0,0,0,0,0,11.877,0,1
2019-08-1213:09:03.6870,0,0,0,0,0,0,0,0,0,11.75,0,1
2019-08-1213:09:03.8110,0,0,0,0,0,0,0,0,0,11.751,0,1
2019-08-1213:09:03.9390,0,0,0,0,0,0,0,0,0,11.806,0,1
2019-08-1213:09:07.7480,0,0,0,0,0,0,-38.69,-53.94,22.5,12.179,0,1
2019-08-1213:09:07.9280,0,0,0,0,0,0,31.62,-84.69,18.25,11.026,0,1
2019-08-1213:09:08.0720,0,0,0,0,0,0,31.62,-84.69,18.25,11.688,0,1
2019-08-1213:09:08.0940,0,0,0,3.68,2.72,-6.86,31.62,-84.69,18.25,12.046,0,1
2019-08-1213:09:08.2410,0,0,0,3.68,2.72,-6.86,31.62,-84.69,18.25,11.972,0,1
2019-08-1213:09:08.2650,0,0,0,3.03,-0.84,-10.23,31.62,-84.69,18.25,12.281,0,1
2019-08-1213:09:08.4160,-10.37,2.48,-3.74,3.03,-0.84,-10.23,31.62,-84.69,18.25,12.104,0,1
2019-08-1213:09:08.4400,-10.52,3.24,-3.65,3.03,-0.84,-10.23,31.62,-84.69,18.25,11.391,0,1
2019-08-1213:09:08.5870,1.31,4.16,8.21,3.03,-0.84,-10.23,31.62,-84.69,18.25,11.641,0,1
2019-08-1213:09:08.7380,1.31,4.16,8.21,12.6,1.23,-8.66,31.62,-84.69,18.25,11.726,0,1
2019-08-1213:09:08.7610,2.12,-10.04,-1.45,12.6,1.23,-8.66,31.62,-84.69,18.25,12.133,0,1
2019-08-1213:09:08.9150,2.12,-10.04,-1.45,12.6,1.23,-8.66,8.75,-4.75,32.75,11.892,0,1
2019-08-1213:09:09.0650,-9.4,3.74,0.71,12.6,1.23,-8.66,8.75,-4.75,32.75,11.006,0,1
