Timestamp,GYRO_X,GYRO_Y,GYRO_Z,ACCEL_X,ACCEL_Y,ACCEL_Z,MAG_X,MAG_Y,MAG_Z,FDC,REED1,REED2,CAP_STATUS
2019-08-1311:12:45.7810,0.01,-0.07,-0.01,7.27,3.76,-5.15,33.56,3.12,0.5,13.64,0,1,ON,
2019-08-1311:12:45.8710,0.01,-0.07,-0.01,7.16,3.95,-5.19,33.56,3.12,0.5,13.645,0,1,ON,
2019-08-1311:12:45.9610,-0.02,0.06,-0.25,7.16,3.95,-5.19,33.56,3.12,0.5,13.653,0,1,ON,
2019-08-1311:12:46.0510,-0.01,-0.25,-0.86,7.16,3.95,-5.19,33.56,3.12,0.5,13.715,0,1,ON,
2019-08-1311:12:46.1710,0.77,-1.09,-5.72,7.16,3.95,-5.19,33.56,3.12,0.5,13.958,0,1,ON,
2019-08-1311:12:46.2610,3.1,-1.83,-5.02,7.16,3.95,-5.19,33.56,3.12,0.5,14.103,0,1,ON,
2019-08-1311:12:46.3510,3.1,-1.83,-5.02,-5.71,-0.8,-8.75,33.56,3.12,0.5,13.944,0,1,ON,
2019-08-1311:12:46.4410,4.74,-5.1,1.92,-5.71,-0.8,-8.75,33.56,3.12,0.5,13.739,0,1,ON,
2019-08-1311:12:46.5610,-0.93,3.29,4.84,-5.71,-0.8,-8.75,33.56,3.12,0.5,13.808,0,1,ON,
2019-08-1311:12:46.6510,-0.93,3.29,4.84,-7.62,4.21,-11.43,33.56,3.12,0.5,13.88,0,1,ON,
2019-08-1311:12:46.7710,0.91,7.17,0.56,-7.62,4.21,-11.43,33.56,3.12,0.5,13.922,0,1,ON,
2019-08-1311:12:46.8610,0.91,7.17,0.56,3.64,5.71,-7.02,33.56,3.12,0.5,13.707,0,1,ON,
2019-08-1311:12:46.9510,4.67,-5.82,-3.87,3.64,5.71,-7.02,33.56,3.12,0.5,14.202,0,1,ON,
2019-08-1311:12:47.0410,5.13,-10.87,-5.3,3.64,5.71,-7.02,33.56,3.12,0.5,13.854,0,1,ON,
2019-08-1311:12:47.1610,1.57,-5.1,-0.64,3.64,5.71,-7.02,33.56,3.12,0.5,12.919,0,1,ON,
